subj size,query size,success,container mode,count,sum init time,init time,sum warmup time,warmup time,sum total query time,total query time,sum run count,run count,sum average time,average time
100,1,OK,any,180,10520409,58447,2475213,13751,2909489,16164,3600,20,145389,808
100,1,OK,exact,60,3081413,51357,703982,11733,824138,13736,1200,20,41177,686
100,1,OK,ordered,120,6553044,54609,1518399,12653,1717504,14313,2400,20,85824,715
100,1,OK,unordered,180,8893973,49411,2016827,11205,2381091,13228,3600,20,118965,661
100,5,OK,any,176,10430398,59264,2912364,16548,3313270,18825,3520,20,165582,941
100,5,OK,exact,60,3126395,52107,887459,14791,987208,16453,1200,20,49331,822
100,5,OK,ordered,116,6342484,54677,1838728,15851,2124448,18314,2320,20,106169,915
100,5,OK,unordered,176,8761609,49782,2498681,14197,3023479,17179,3520,20,151092,858
100,10,OK,any,130,7678025,59062,2153332,16564,2608150,20063,2600,20,130340,1003
100,10,OK,exact,48,2531833,52747,735060,15314,936870,19518,960,20,46821,975
100,10,OK,ordered,78,4267649,54713,1276209,16362,1773028,22731,1560,20,88613,1136
100,10,OK,unordered,130,6515785,50121,1906665,14667,2768550,21297,2600,20,138367,1064
100,20,OK,any,68,4029692,59260,1132702,16657,1440608,21185,1360,20,71998,1059
100,20,OK,exact,26,1395137,53659,410305,15781,643775,24761,520,20,32176,1238
100,20,OK,ordered,38,2110705,55545,645500,16987,1108424,29169,760,20,55402,1458
100,20,OK,unordered,68,3482326,51211,1055180,15517,1901305,27960,1360,20,95035,1398
100,30,OK,any,36,2245391,62372,603878,16774,794861,22079,720,20,39724,1103
100,30,OK,exact,16,879393,54962,264919,16557,458168,28636,320,20,22903,1431
100,30,OK,ordered,18,1008336,56019,322319,17907,621095,34505,360,20,31046,1725
100,30,OK,unordered,36,1871071,51974,591911,16442,1181145,32810,720,20,59038,1640
1000,1,OK,any,180,17931722,99621,3803295,21129,6749576,37498,3600,20,337392,1874
1000,1,OK,exact,60,5276716,87945,1081269,18021,1976893,32948,1200,20,98819,1647
1000,1,OK,ordered,120,10826817,90223,2241006,18675,4001283,33344,2400,20,200005,1667
1000,1,OK,unordered,180,15080504,83781,3022090,16789,5554387,30858,3600,20,277636,1542
1000,5,OK,any,176,17870648,101538,4493368,25530,7956675,45208,3520,20,397749,2260
1000,5,OK,exact,58,5103460,87991,1223036,21087,2136876,36843,1160,20,106815,1842
1000,5,OK,ordered,116,10480683,90351,2608564,22488,4656642,40143,2320,20,232781,2007
1000,5,OK,unordered,176,14760665,83867,3573707,20305,6469601,36759,3520,20,323399,1837
1000,10,OK,any,156,15870694,101735,3918524,25119,7090877,45454,3120,20,354466,2272
1000,10,OK,exact,52,4612038,88693,1126280,21659,2029558,39030,1040,20,101456,1951
1000,10,OK,ordered,98,8851539,90322,2245273,22911,4311413,43994,1960,20,215527,2199
1000,10,OK,unordered,156,13116533,84080,3242963,20788,6305316,40419,3120,20,315189,2020
1000,20,OK,any,122,12443430,101995,3074773,25203,5726251,46936,2440,20,286253,2346
1000,20,OK,exact,40,3550394,88760,881400,22035,1718321,42958,800,20,85897,2147
1000,20,OK,ordered,66,5944768,90072,1534793,23254,3202247,48519,1320,20,160080,2425
1000,20,OK,unordered,122,10305860,84474,2617490,21455,5556834,45548,2440,20,277776,2277
1000,30,OK,any,100,10130787,101308,2576098,25761,4691800,46918,2000,20,234543,2345
1000,30,OK,exact,30,2706942,90231,691697,23057,1364036,45468,600,20,68188,2273
1000,30,OK,ordered,48,4473586,93200,1213606,25283,2551810,53163,960,20,127567,2658
1000,30,OK,unordered,100,8461545,84615,2237343,22373,4927522,49275,2000,20,246332,2463
10000,1,OK,any,180,29901581,166120,5962754,33126,30688655,170493,3600,20,1534351,8524
10000,1,OK,exact,60,9481210,158020,1991427,33190,9825822,163764,1200,20,491257,8188
10000,1,OK,ordered,120,19499233,162494,3898362,32486,20248208,168735,2400,20,1012356,8436
10000,1,OK,unordered,180,26202207,145568,5874448,32636,29124619,161803,3600,20,1456143,8090
10000,5,OK,any,164,27004201,164660,6685703,40766,31630774,192871,3280,20,1581463,9643
10000,5,OK,exact,56,8798591,157118,2113981,37750,10131926,180927,1120,20,506569,9046
10000,5,OK,ordered,104,17098302,164407,4189479,40283,19676697,189199,2080,20,983788,9460
10000,5,OK,unordered,164,23617496,144009,6437144,39251,29868757,182127,3280,20,1493357,9106
10000,10,OK,any,154,25764602,167303,6287082,40825,30641817,198973,3080,20,1532021,9948
10000,10,OK,exact,50,7908595,158172,1919238,38385,9130486,182610,1000,20,456504,9130
10000,10,OK,ordered,94,15333279,163120,3927465,41782,17950047,190958,1880,20,897456,9547
10000,10,OK,unordered,154,22257912,144532,6096199,39586,28931491,187867,3080,20,1446502,9393
10000,20,OK,any,144,24611711,170915,6054752,42047,28999341,201384,2880,20,1449899,10069
10000,20,OK,exact,48,7817063,162855,1842422,38384,8989382,187279,960,20,449448,9364
10000,20,OK,ordered,86,14179142,164874,3617599,42065,17291824,201068,1720,20,864551,10053
10000,20,OK,unordered,144,20760294,144169,5943677,41276,28325547,196705,2880,20,1416212,9835
10000,30,OK,any,136,22731381,167143,5752277,42296,27257857,200425,2720,20,1362832,10021
10000,30,OK,exact,46,7462205,162222,1803651,39210,8305543,180555,920,20,415252,9027
10000,30,OK,ordered,78,12839199,164605,3427236,43939,15776352,202261,1560,20,788785,10113
10000,30,OK,unordered,136,19675080,144670,5641688,41483,27288715,200652,2720,20,1364373,10032
100000,1,OK,any,180,96491409,536063,26096478,144980,247393483,1374408,3600,20,12369594,68720
100000,1,OK,exact,60,31542785,525713,9073711,151229,82241057,1370684,1200,20,4112024,68534
100000,1,OK,ordered,120,59885494,499046,16567019,138058,152588851,1271574,2400,20,7629388,63578
100000,1,OK,unordered,180,81493748,452743,22413759,124521,217100532,1206114,3600,20,10854932,60305
100000,5,OK,any,166,88628997,533910,28056185,169013,251059300,1512405,3320,20,12552885,75620
100000,5,OK,exact,56,28885747,515817,8875401,158489,86652385,1547364,1120,20,4332589,77368
100000,5,OK,ordered,106,53693209,506540,17673370,166730,153133742,1444658,2120,20,7656635,72232
100000,5,OK,unordered,166,74345581,447865,23831599,143564,224129077,1350175,3320,20,11206373,67508
100000,10,OK,any,162,87277696,538751,28013895,172925,249690116,1541297,3240,20,12484425,77064
100000,10,OK,exact,56,28485789,508675,8426885,150480,84306295,1505470,1120,20,4215289,75273
100000,10,OK,ordered,102,50542176,495512,17001555,166682,151123055,1481599,2040,20,7556103,74079
100000,10,OK,unordered,162,71997845,444431,23962901,147919,224326656,1384732,3240,20,11216251,69236
100000,20,OK,any,144,77046492,535045,24244461,168364,218163357,1515023,2880,20,10908105,75751
100000,20,OK,exact,52,27222759,523515,8817041,169558,87402335,1680814,1040,20,4370090,84040
100000,20,OK,ordered,86,42775330,497388,14457410,168109,132559124,1541385,1720,20,6627915,77069
100000,20,OK,unordered,144,64332857,446756,21820395,151531,206816496,1436226,2880,20,10340756,71811
100000,30,OK,any,130,69793899,536876,22507077,173131,197299904,1517692,2600,20,9864938,75884
100000,30,OK,exact,44,22714186,516232,7850943,178431,73593673,1672583,880,20,3679661,83629
100000,30,OK,ordered,72,35988673,499843,12233459,169909,110917398,1540519,1440,20,5545835,77025
100000,30,OK,unordered,130,57983978,446031,20819192,160148,198390385,1526080,2600,20,9919455,76304
1000000,1,OK,any,180,334496388,1858313,160529532,891831,2400798668,13337770,3600,20,120039855,666888
1000000,1,OK,exact,60,105953302,1765888,52122750,868712,766640308,12777338,1200,20,38331987,638866
1000000,1,OK,ordered,120,197726542,1647721,99481248,829010,1415624253,11796869,2400,20,70781152,589843
1000000,1,OK,unordered,180,320878462,1782658,158694734,881637,2347023772,13039021,3600,20,117351102,651951
1000000,5,OK,any,172,315029694,1831568,182691275,1062159,2776975013,16145204,3440,20,138848670,807260
1000000,5,OK,exact,56,98386090,1756894,75906853,1355480,1190268642,21254797,1120,20,59513406,1062739
1000000,5,OK,ordered,112,184841383,1650369,123168930,1099723,1823779252,16283743,2240,20,91188910,814187
1000000,5,OK,unordered,172,306509187,1782030,221196967,1286029,3513565933,20427709,3440,20,175678218,1021385
1000000,10,OK,any,170,314373283,1849255,186208911,1095347,2849544653,16762027,3400,20,142477151,838101
1000000,10,OK,exact,56,100593088,1796305,117943123,2106127,2025983765,36178282,1120,20,101299166,1808914
1000000,10,OK,ordered,110,180944509,1644950,122403768,1112762,1806472687,16422479,2200,20,90323584,821123
1000000,10,OK,unordered,170,299716695,1763039,271052473,1594426,4473914501,26317144,3400,20,223695643,1315857
1000000,20,OK,any,152,281431865,1851525,205851049,1354283,3281942558,21591727,3040,20,164097055,1079586
1000000,20,OK,exact,48,85779069,1787064,61679890,1284998,981339258,20444568,960,20,49066942,1022228
1000000,20,OK,ordered,92,151468296,1646395,117178639,1273681,1807154440,19642983,1840,20,90357679,982149
