subj size,query size,success,direct set,count,sum init time,init time,sum warmup time,warmup time,sum total query time,total query time,sum run count,run count,sum average time,average time
100,1,OK,false,270,14591160,54041,3391398,12561,3894602,14424,5400,20,194604,721
100,1,OK,true,270,14457679,53547,3323023,12307,3937620,14584,5400,20,196751,729
100,5,OK,false,264,14332122,54288,4078519,15449,4788267,18137,5280,20,239287,906
100,5,OK,true,264,14328764,54276,4058713,15374,4660138,17652,5280,20,232887,882
100,10,OK,false,193,10495748,54382,3040738,15755,4081456,21147,3860,20,203976,1057
100,10,OK,true,193,10497544,54391,3030528,15702,4005142,20752,3860,20,200165,1037
100,20,OK,false,100,5482546,54825,1640423,16404,2579843,25798,2000,20,128945,1289
100,20,OK,true,100,5535314,55353,1603264,16033,2514269,25143,2000,20,125666,1257
100,30,OK,false,53,2980813,56242,894769,16882,1523863,28752,1060,20,76168,1437
100,30,OK,true,53,3023378,57045,888258,16760,1531406,28894,1060,20,76543,1444
1000,1,OK,false,270,24510043,90778,5071716,18784,9098518,33698,5400,20,454804,1684
1000,1,OK,true,270,24605716,91132,5075944,18800,9183621,34013,5400,20,459048,1700
1000,5,OK,false,263,24053225,91457,5984522,22755,10700938,40688,5260,20,534924,2034
1000,5,OK,true,263,24162231,91872,5914153,22487,10518856,39996,5260,20,525820,1999
1000,10,OK,false,231,21219654,91860,5300332,22945,10001098,43295,4620,20,499942,2164
1000,10,OK,true,231,21231150,91910,5232708,22652,9736066,42147,4620,20,486696,2107
1000,20,OK,false,175,16180523,92460,4090092,23372,8174021,46709,3500,20,408613,2335
1000,20,OK,true,175,16063929,91794,4018364,22962,8029632,45884,3500,20,401393,2294
1000,30,OK,false,139,12820051,92231,3400043,24461,6883215,49520,2780,20,344097,2476
1000,30,OK,true,139,12952809,93186,3318701,23876,6651953,47856,2780,20,332533,2392
10000,1,OK,false,270,42613565,157828,8881298,32894,44806025,165948,5400,20,2240172,8297
10000,1,OK,true,270,42470666,157299,8845693,32762,45081279,166968,5400,20,2253935,8348
10000,5,OK,false,244,38056676,155970,9791678,40130,46075953,188836,4880,20,2303686,9441
10000,5,OK,true,244,38461914,157631,9634629,39486,45232201,185378,4880,20,2261491,9268
10000,10,OK,false,226,35815206,158474,9306193,41178,44149416,195351,4520,20,2207364,9767
10000,10,OK,true,226,35449182,156855,8923791,39486,42504425,188073,4520,20,2125119,9403
10000,20,OK,false,211,33698555,159709,8929396,42319,42904592,203339,4220,20,2145136,10167
10000,20,OK,true,211,33669655,159572,8529054,40422,40701502,192898,4220,20,2034974,9644
10000,30,OK,false,198,31418043,158677,8452661,42690,40574234,204920,3960,20,2028622,10246
10000,30,OK,true,198,31289822,158029,8172191,41274,38054233,192193,3960,20,1902620,9609
100000,1,OK,false,270,134403244,497790,36697507,135917,348895544,1292206,5400,20,17444651,64610
100000,1,OK,true,270,135010192,500038,37453460,138717,350428379,1297883,5400,20,17521287,64894
100000,5,OK,false,247,122905817,497594,39887933,161490,368689656,1492671,4940,20,18434362,74633
100000,5,OK,true,247,122647717,496549,38548622,156067,346284848,1401963,4940,20,17314120,70098
100000,10,OK,false,241,119293933,494996,39826227,165254,371731524,1542454,4820,20,18586456,77122
100000,10,OK,true,241,119009573,493816,37579009,155929,337714598,1401305,4820,20,16885612,70065
100000,20,OK,false,213,105926482,497307,36489547,171312,345510094,1622113,4260,20,17275402,81105
100000,20,OK,true,213,105450956,495075,32849760,154224,299431218,1405780,4260,20,14971464,70289
100000,30,OK,false,188,92757214,493389,33380557,177556,311993001,1659537,3760,20,15599561,82976
100000,30,OK,true,188,93723522,498529,30030114,159735,268208359,1426640,3760,20,13410328,71332
1000000,1,OK,false,270,481233861,1782348,235196576,871098,3471602457,12857787,5400,20,173579995,642889
1000000,1,OK,true,270,477820833,1769707,235631688,872710,3458484544,12809202,5400,20,172924101,640460
1000000,5,OK,false,256,453231880,1770437,347729998,1358320,5509226535,21520416,5120,20,275461208,1076020
1000000,5,OK,true,256,451534474,1763807,255234027,997008,3795362305,14825634,5120,20,189767996,741281
1000000,10,OK,false,253,447437140,1768526,446263090,1763886,7420245477,29329034,5060,20,371012156,1466451
1000000,10,OK,true,253,448190435,1771504,251345185,993459,3735670129,14765495,5060,20,186783388,738274
1000000,20,OK,false,222,394390942,1776536,387734854,1746553,6380379588,28740449,4440,20,319018871,1437022
1000000,20,OK,true,222,391031216,1761402,228251321,1028159,3451576488,15547642,4440,20,172578721,777382
1000000,30,OK,false,219,388757125,1775147,492609429,2249358,8528405991,38942493,4380,20,426420198,1947124
1000000,30,OK,true,219,389491197,1778499,222284501,1014998,3314510619,15134752,4380,20,165725420,756737
