subj size,query size,success,query start,count,sum init time,init time,sum warmup time,warmup time,sum total query time,total query time,sum run count,run count,sum average time,average time
100,1,OK,0,108,5876332,54410,1343420,12439,1545426,14310,2160,20,77219,715
100,1,OK,1,108,5775456,53476,1327766,12294,1555575,14403,2160,20,77728,720
100,1,OK,2,108,5794577,53653,1344699,12451,1556311,14410,2160,20,77760,720
100,1,OK,3,108,5790863,53619,1353086,12529,1581640,14645,2160,20,79038,732
100,1,OK,4,108,5811611,53811,1345450,12458,1593270,14752,2160,20,79610,737
100,5,OK,0,108,5844448,54115,1642990,15213,1939427,17958,2160,20,96921,897
100,5,OK,1,108,5871382,54365,1672252,15484,1913052,17713,2160,20,95604,885
100,5,OK,2,102,5525007,54167,1565620,15349,1830631,17947,2040,20,91485,897
100,5,OK,3,108,5904896,54675,1662455,15393,1940571,17968,2160,20,96975,898
100,5,OK,4,102,5515153,54070,1593915,15627,1824724,17889,2040,20,91189,894
100,10,OK,0,96,5224605,54423,1519555,15829,1988806,20717,1920,20,99393,1035
100,10,OK,1,102,5541411,54328,1591766,15606,2186010,21431,2040,20,109249,1071
100,10,OK,2,90,4928435,54760,1424989,15833,1878775,20875,1800,20,93896,1043
100,10,OK,3,62,3368992,54339,971426,15668,1278523,20621,1240,20,63895,1031
100,10,OK,4,36,1929849,53607,563530,15654,754484,20958,720,20,37708,1047
100,20,OK,0,78,4304351,55184,1253778,16074,1957575,25097,1560,20,97843,1254
100,20,OK,1,70,3858060,55115,1149784,16425,1818000,25971,1400,20,90869,1298
100,20,OK,2,36,1990678,55297,588515,16348,921333,25593,720,20,46048,1279
100,20,OK,3,16,864771,54048,251610,15726,397204,24825,320,20,19851,1241
100,30,OK,0,48,2701861,56289,806174,16795,1383732,28828,960,20,69164,1441
100,30,OK,1,46,2612763,56799,771300,16767,1318901,28672,920,20,65921,1433
100,30,OK,2,12,689567,57464,205553,17129,352636,29386,240,20,17626,1469
1000,1,OK,0,108,9773407,90495,1980074,18334,3588646,33228,2160,20,179382,1661
1000,1,OK,1,108,9851937,91222,2046005,18944,3687484,34143,2160,20,184320,1707
1000,1,OK,2,108,9768122,90446,1999683,18516,3618753,33507,2160,20,180886,1675
1000,1,OK,3,108,9901464,91680,2075112,19214,3694530,34209,2160,20,184675,1710
1000,1,OK,4,108,9820829,90934,2046786,18952,3692726,34192,2160,20,184589,1709
1000,5,OK,0,108,10014691,92729,2500327,23151,4434344,41059,2160,20,221668,2052
1000,5,OK,1,94,8510332,90535,2119938,22553,3827018,40713,1880,20,191304,2035
1000,5,OK,2,108,9836255,91076,2400557,22227,4323710,40034,2160,20,216141,2001
1000,5,OK,3,108,9979945,92407,2441798,22609,4301488,39829,2160,20,215023,1991
1000,5,OK,4,108,9874233,91428,2436055,22556,4333234,40123,2160,20,216608,2006
1000,10,OK,0,108,10039599,92959,2497224,23122,4741548,43903,2160,20,237027,2195
1000,10,OK,1,80,7444229,93053,1866309,23329,3488882,43611,1600,20,174409,2180
1000,10,OK,2,102,9239165,90580,2273443,22289,4211824,41292,2040,20,210542,2064
1000,10,OK,3,88,8028893,91237,1996329,22686,3728025,42364,1760,20,186353,2118
1000,10,OK,4,84,7698918,91654,1899735,22616,3566885,42463,1680,20,178307,2123
1000,20,OK,0,108,9840319,91114,2508379,23226,5054435,46800,2160,20,252670,2340
1000,20,OK,1,68,6290991,92515,1600887,23542,3231980,47529,1360,20,161565,2376
1000,20,OK,2,74,6893022,93149,1690586,22846,3351808,45295,1480,20,167551,2264
1000,20,OK,3,68,6300156,92649,1571527,23111,3118000,45853,1360,20,155864,2292
1000,20,OK,4,32,2919964,91249,737077,23034,1447430,45232,640,20,72356,2261
1000,30,OK,0,88,8247219,93718,2231023,25353,4509344,51243,1760,20,225426,2562
1000,30,OK,1,60,5522185,92036,1430092,23835,2910174,48503,1200,20,145482,2425
1000,30,OK,2,54,4955523,91769,1258582,23307,2487664,46068,1080,20,124358,2303
1000,30,OK,3,56,5235910,93498,1340580,23939,2703641,48279,1120,20,135155,2413
1000,30,OK,4,20,1812023,90601,458467,22923,924345,46217,400,20,46209,2310
10000,1,OK,0,108,17195353,159216,3489777,32313,17569127,162677,2160,20,878412,8133
10000,1,OK,1,108,16906614,156543,3634436,33652,18219802,168702,2160,20,910937,8435
10000,1,OK,2,108,17098177,158316,3517283,32567,17888694,165636,2160,20,894383,8281
10000,1,OK,3,108,16789774,155461,3559912,32962,17980154,166483,2160,20,898957,8324
10000,1,OK,4,108,17094313,158281,3525583,32644,18229527,168792,2160,20,911418,8439
10000,5,OK,0,108,16877228,156271,4227493,39143,19918293,184429,2160,20,995865,9221
10000,5,OK,1,76,11876521,156270,3073459,40440,14365133,189015,1520,20,718223,9450
10000,5,OK,2,108,17258709,159803,4298616,39802,20126440,186356,2160,20,1006267,9317
10000,5,OK,3,88,13668956,155329,3412634,38780,16196493,184051,1760,20,809782,9202
10000,5,OK,4,108,16837176,155900,4414105,40871,20701795,191683,2160,20,1035040,9584
10000,10,OK,0,108,17102955,158361,4439024,41102,20938529,193875,2160,20,1046875,9693
10000,10,OK,1,60,9321198,155353,2431176,40520,11460279,191005,1200,20,572984,9550
10000,10,OK,2,94,14881210,158311,3725877,39637,17940903,190861,1880,20,897003,9543
10000,10,OK,3,88,13782477,156619,3501779,39793,16456808,187009,1760,20,822802,9350
10000,10,OK,4,102,16176548,158594,4132128,40511,19857322,194680,2040,20,992819,9734
10000,20,OK,0,108,17127413,158587,4698730,43507,22158005,205167,2160,20,1107848,10258
10000,20,OK,1,60,9510170,158503,2470966,41183,11867829,197797,1200,20,593365,9889
10000,20,OK,2,88,14036319,159504,3567118,40535,16963534,192767,1760,20,848136,9638
10000,20,OK,3,88,14195164,161309,3587821,40771,16863465,191630,1760,20,843132,9581
10000,20,OK,4,78,12499144,160245,3133815,40177,15753261,201965,1560,20,787629,10098
10000,30,OK,0,102,16316463,159965,4462843,43753,21182972,207676,2040,20,1059101,10383
10000,30,OK,1,60,9330664,155511,2621199,43687,11934573,198910,1200,20,596700,9945
10000,30,OK,2,88,13890114,157842,3585839,40748,16582618,188439,1760,20,829092,9422
10000,30,OK,3,82,12961780,158070,3330631,40617,15962410,194664,1640,20,798084,9733
10000,30,OK,4,64,10208844,159513,2624340,41005,12965894,202592,1280,20,648265,10129
100000,1,OK,0,108,54380597,503524,15112912,139934,140488647,1300821,2160,20,7024380,65041
100000,1,OK,1,108,53380784,494267,14545675,134682,136066520,1259875,2160,20,6803274,62993
100000,1,OK,2,108,53737766,497572,14843108,137436,138763125,1284844,2160,20,6938107,64242
100000,1,OK,3,108,53420199,494631,14742321,136503,139850613,1294913,2160,20,6992480,64745
100000,1,OK,4,108,54494090,504575,14906951,138027,144155018,1334769,2160,20,7207697,66738
100000,5,OK,0,102,51345130,503384,16321278,160013,150392172,1474433,2040,20,7519558,73721
100000,5,OK,1,94,46376184,493364,14234493,151431,125554165,1335683,1880,20,6277662,66784
100000,5,OK,2,94,46909152,499034,14496626,154219,136258795,1449562,1880,20,6812892,72478
100000,5,OK,3,96,46988976,489468,15817919,164770,144549072,1505720,1920,20,7227406,75285
100000,5,OK,4,108,53934092,499390,17566239,162650,158220300,1465003,2160,20,7910964,73250
100000,10,OK,0,102,50483115,494932,17205015,168677,163341739,1601390,2040,20,8167036,80069
100000,10,OK,1,88,42614148,484252,12973456,147426,120401024,1368193,1760,20,6020013,68409
100000,10,OK,2,94,46378991,493394,14127855,150296,129735229,1380162,1880,20,6486707,69008
100000,10,OK,3,96,47866160,498606,16625311,173180,148031548,1541995,1920,20,7401532,77099
100000,10,OK,4,102,50961092,499619,16473599,161506,147936582,1450359,2040,20,7396780,72517
100000,20,OK,0,88,43626392,495754,14979382,170220,139766859,1588260,1760,20,6988297,79412
100000,20,OK,1,82,40527549,494238,12412459,151371,112272793,1369180,1640,20,5613604,68459
100000,20,OK,2,88,43793783,497657,13880372,157732,128107506,1455767,1760,20,6405337,72788
100000,20,OK,3,90,44354489,492828,15275239,169725,144815235,1609058,1800,20,7240726,80453
100000,20,OK,4,78,39075225,500964,12791855,163998,119978919,1538191,1560,20,5998902,76909
100000,30,OK,0,88,43217579,491109,16413156,186513,150614435,1711528,1760,20,7530678,85576
100000,30,OK,1,74,36185248,488990,11757007,158878,108633320,1468018,1480,20,5431633,73400
100000,30,OK,2,82,41395565,504824,13462598,164178,117978126,1438758,1640,20,5898871,71937
100000,30,OK,3,68,33342089,490325,10533968,154911,95836652,1409363,1360,20,4791802,70468
100000,30,OK,4,64,32340255,505316,11243942,175687,107138827,1674044,1280,20,5356905,83702
1000000,1,OK,0,108,190655857,1765332,93788267,868410,1375627162,12737289,2160,20,68781307,636864
1000000,1,OK,1,108,191128040,1769704,92478042,856278,1364615814,12635332,2160,20,68230739,631766
1000000,1,OK,2,108,192609688,1783423,95454417,883837,1396439368,12929994,2160,20,69821917,646499
1000000,1,OK,3,108,193130273,1788243,93664796,867267,1389799456,12868513,2160,20,69489925,643425
1000000,1,OK,4,108,191530836,1773434,95442742,883729,1403605201,12996344,2160,20,70180208,649817
1000000,5,OK,0,108,194433952,1800314,117869637,1091386,1760776423,16303485,2160,20,88038764,815174
1000000,5,OK,1,94,165501234,1760651,108315200,1152289,1667148388,17735621,1880,20,83357378,886781
1000000,5,OK,2,108,190150547,1760653,120370034,1114537,1821198982,16862954,2160,20,91059905,843147
1000000,5,OK,3,108,187667850,1737665,132438402,1226282,2052423104,19003918,2160,20,102621106,950195
1000000,5,OK,4,94,167012771,1776732,123970752,1318838,2003041943,21308957,1880,20,100152051,1065447
1000000,10,OK,0,108,193184223,1788743,124770608,1155283,1897187586,17566552,2160,20,94859333,878327
1000000,10,OK,1,94,165295145,1758459,166050328,1766493,2750189007,29257330,1880,20,137509403,1462866
1000000,10,OK,2,102,180186378,1766533,120281481,1179230,1863925329,18273778,2040,20,93196223,913688
1000000,10,OK,3,108,191312915,1771416,157754016,1460685,2549691763,23608257,2160,20,127484534,1180412
1000000,10,OK,4,94,165648914,1762222,128751842,1369700,2094921921,22286403,1880,20,104746051,1114320
1000000,20,OK,0,88,156131695,1774224,139153083,1581285,2270482977,25800943,1760,20,113524112,1290047
1000000,20,OK,1,94,163337406,1737632,105087820,1117956,1589582612,16910453,1880,20,79479083,845522
1000000,20,OK,2,74,131737493,1780236,78597327,1062126,1212532809,16385578,1480,20,60626607,819278
1000000,20,OK,3,108,191767332,1775623,138285708,1280423,2168255094,20076436,2160,20,108412699,1003821
1000000,20,OK,4,80,142448232,1780603,154862237,1935778,2591102584,32388782,1600,20,129555091,1619439
1000000,30,OK,0,88,157639556,1791359,152844119,1736865,2550404187,28981866,1760,20,127520163,1449093
1000000,30,OK,1,88,156168148,1774638,146668074,1666683,2446706814,27803487,1760,20,122335298,1390174
1000000,30,OK,2,74,132140094,1785677,73324982,990878,1098308862,14842012,1480,20,54915411,742100
1000000,30,OK,3,108,189683352,1756327,209542892,1940212,3490828632,32322487,2160,20,174541378,1616124
1000000,30,OK,4,80,142617172,1782715,132513863,1656423,2256668115,28208351,1600,20,112833368,1410417
