subj size,query size,success,query type,count,sum init time,init time,sum warmup time,warmup time,sum total query time,total query time,sum run count,run count,sum average time,average time
100,1,OK,all,240,12858419,53577,2970160,12376,3427313,14280,4800,20,171253,714
100,1,OK,sel,180,9757727,54210,2252706,12515,2634497,14636,3600,20,131638,731
100,1,OK,shuffle,120,6432693,53606,1491555,12430,1770412,14753,2400,20,88464,737
100,5,OK,all,240,12949873,53958,3676419,15318,4240097,17667,4800,20,211890,883
100,5,OK,sel,168,9138744,54397,2612498,15551,3043397,18115,3360,20,152096,905
100,5,OK,shuffle,120,6572269,54769,1848315,15403,2164911,18041,2400,20,108188,902
100,10,OK,all,192,10379221,54058,3013639,15696,4020833,20942,3840,20,200945,1047
100,10,OK,sel,90,4935420,54838,1443376,16038,1934183,21491,1800,20,96667,1074
100,10,OK,shuffle,104,5678651,54602,1614251,15522,2131582,20496,2080,20,106529,1024
100,20,OK,all,104,5751533,55303,1693158,16280,2653128,25511,2080,20,132606,1275
100,20,OK,sel,36,2004430,55679,585503,16264,933280,25924,720,20,46647,1296
100,20,OK,shuffle,60,3261897,54365,965026,16084,1507704,25128,1200,20,75358,1256
100,30,OK,all,64,3605444,56335,1080384,16881,1849819,28903,1280,20,92461,1445
100,30,OK,sel,6,355832,59305,106271,17712,182516,30419,120,20,9123,1520
100,30,OK,shuffle,36,2042915,56748,596372,16566,1022934,28415,720,20,51127,1420
1000,1,OK,all,240,21652176,90217,4456700,18570,8057406,33573,4800,20,402757,1678
1000,1,OK,sel,180,16452293,91402,3421082,19006,6142153,34123,3600,20,307024,1706
1000,1,OK,shuffle,120,11011290,91761,2269878,18916,4082580,34022,2400,20,204071,1701
1000,5,OK,all,232,21141540,91127,5201292,22419,9260899,39918,4640,20,462934,1995
1000,5,OK,sel,174,16028540,92118,3951471,22710,7048698,40510,3480,20,352351,2025
1000,5,OK,shuffle,120,11045376,92045,2745912,22883,4910197,40918,2400,20,245459,2045
1000,10,OK,all,208,18915696,90941,4685574,22527,8812259,42367,4160,20,440515,2118
1000,10,OK,sel,138,12733434,92271,3179880,23043,5982052,43348,2760,20,299040,2167
1000,10,OK,shuffle,116,10801674,93118,2667586,22996,4942853,42611,2320,20,247083,2130
1000,20,OK,all,160,14589261,91183,3679382,22996,7327857,45799,3200,20,366313,2289
1000,20,OK,sel,78,7231540,92712,1819023,23321,3686202,47259,1560,20,184273,2362
1000,20,OK,shuffle,112,10423651,93068,2610051,23304,5189594,46336,2240,20,259420,2316
1000,30,OK,all,120,11029099,91909,2871765,23931,5786789,48223,2400,20,289288,2411
1000,30,OK,sel,54,5042817,93386,1349110,24984,2690622,49826,1080,20,134504,2491
1000,30,OK,shuffle,104,9700944,93278,2497869,24018,5057757,48632,2080,20,252838,2431
10000,1,OK,all,240,37903540,157931,7864266,32768,39738566,165577,4800,20,1986814,8278
10000,1,OK,sel,180,28404722,157804,5951293,33063,30171284,167618,3600,20,1508477,8380
10000,1,OK,shuffle,120,18775969,156466,3911432,32595,19977454,166479,2400,20,998816,8323
10000,5,OK,all,224,35343564,157784,8814137,39349,41736750,186325,4480,20,2086730,9316
10000,5,OK,sel,144,22531270,156467,5806967,40326,26845051,186424,2880,20,1342186,9321
10000,5,OK,shuffle,120,18643756,155365,4805203,40043,22726353,189386,2400,20,1136261,9469
10000,10,OK,all,200,31501313,157507,8069928,40350,38080698,190403,4000,20,1903944,9520
10000,10,OK,sel,132,20916788,158461,5353773,40559,25248532,191277,2640,20,1262364,9563
10000,10,OK,shuffle,120,18846287,157052,4806283,40052,23324611,194372,2400,20,1166175,9718
10000,20,OK,all,192,30979443,161351,7946803,41390,37939014,197599,3840,20,1896861,9879
10000,20,OK,sel,114,18081815,158612,4719346,41398,22420312,196669,2280,20,1120967,9833
10000,20,OK,shuffle,116,18306952,157819,4792301,41313,23246768,200403,2320,20,1162282,10020
10000,30,OK,all,184,29467197,160148,7664087,41653,36376419,197698,3680,20,1818731,9884
10000,30,OK,sel,96,15105911,157353,4077134,42470,18645832,194227,1920,20,932251,9711
10000,30,OK,shuffle,116,18134757,156334,4883631,42100,23606216,203502,2320,20,1180260,10175
100000,1,OK,all,240,120646140,502692,33857141,141071,313449411,1306039,4800,20,15672359,65301
100000,1,OK,sel,180,89452026,496956,24422216,135679,229789907,1276611,3600,20,11489408,63830
100000,1,OK,shuffle,120,59315270,494294,15871610,132263,156084605,1300705,2400,20,7804171,65035
100000,5,OK,all,224,111951729,499785,35928926,160397,332634319,1484975,4480,20,16631601,74248
100000,5,OK,sel,150,74839948,498933,23894041,159294,208993616,1393291,3000,20,10449609,69664
100000,5,OK,shuffle,120,58761857,489682,18613588,155113,173346569,1444555,2400,20,8667272,72227
100000,10,OK,all,224,112080053,500357,36602081,163402,335057175,1495791,4480,20,16752751,74789
100000,10,OK,sel,138,67945096,492356,21561554,156243,192231222,1392980,2760,20,9611492,69648
100000,10,OK,shuffle,120,58278357,485653,19241601,160347,182157725,1517981,2400,20,9107825,75899
100000,20,OK,all,208,105114283,505357,35154927,169014,326212369,1568329,4160,20,16310516,78416
100000,20,OK,sel,102,49969051,489893,15641803,153351,144201773,1413743,2040,20,7210043,70687
100000,20,OK,shuffle,116,56294104,485294,18542577,159850,174527170,1504545,2320,20,8726307,75227
100000,30,OK,all,176,88554731,503152,30102718,171038,276641455,1571826,3520,20,13831985,78591
100000,30,OK,sel,84,41494483,493982,13687548,162947,120050820,1429176,1680,20,6002505,71458
100000,30,OK,shuffle,116,56431522,486479,19620405,169141,183509085,1581975,2320,20,9175399,79098
1000000,1,OK,all,240,424288390,1767868,208377585,868240,3049954576,12708144,4800,20,152497615,635407
1000000,1,OK,sel,180,316132165,1756290,155865729,865921,2293796208,12743312,3600,20,114689728,637165
1000000,1,OK,shuffle,120,218634139,1821951,106584950,888208,1586336217,13219468,2400,20,79316753,660973
1000000,5,OK,all,224,392491790,1752195,267093386,1192381,4119769321,18391827,4480,20,205988363,919591
1000000,5,OK,sel,168,293889693,1749343,182405844,1085749,2743051955,16327690,3360,20,137152517,816384
1000000,5,OK,shuffle,120,218384871,1819874,153464795,1278873,2441767564,20348063,2400,20,122088324,1017403
1000000,10,OK,all,224,394567843,1761464,343610641,1533976,5602492968,25011129,4480,20,280124542,1250556
