subj size,subj type,subj param,query start,query size,direct set,query type,container mode,init time,warmup time,total query time,run count,average time,success
100,exponential,3,0,10,false,all,any,59466,15783,17747,20,887,OK
100,exponential,3,0,10,false,all,exact,52815,15709,18838,20,941,OK
100,exponential,3,0,10,false,all,ordered,53304,16533,23045,20,1152,OK
100,exponential,3,0,10,false,all,unordered,50768,15955,21164,20,1058,OK
100,exponential,3,0,10,false,sel,any,63168,18570,20050,20,1002,OK
100,exponential,3,0,10,false,sel,ordered,50983,16193,22292,20,1114,OK
100,exponential,3,0,10,false,sel,unordered,50031,14809,20832,20,1041,OK
100,exponential,3,0,10,false,shuffle,any,56497,14497,17983,20,899,OK
100,exponential,3,0,10,false,shuffle,unordered,50231,14997,21477,20,1073,OK
100,exponential,3,0,10,true,all,any,54922,21063,24883,20,1244,OK
100,exponential,3,0,10,true,all,exact,51849,15056,18545,20,927,OK
100,exponential,3,0,10,true,all,ordered,54616,15115,21555,20,1077,OK
100,exponential,3,0,10,true,all,unordered,50291,15033,21189,20,1059,OK
100,exponential,3,0,10,true,sel,any,59389,22059,20500,20,1025,OK
100,exponential,3,0,10,true,sel,ordered,55204,15708,21432,20,1071,OK
100,exponential,3,0,10,true,sel,unordered,49970,14542,20982,20,1049,OK
100,exponential,3,0,10,true,shuffle,any,67424,15118,20804,20,1040,OK
100,exponential,3,0,10,true,shuffle,unordered,50495,15311,21068,20,1053,OK
100,exponential,3,0,1,false,all,any,62132,12846,18917,20,945,OK
100,exponential,3,0,1,false,all,exact,50505,11590,12183,20,609,OK
100,exponential,3,0,1,false,all,ordered,54099,12440,12837,20,641,OK
100,exponential,3,0,1,false,all,unordered,48846,11028,12088,20,604,OK
100,exponential,3,0,1,false,sel,any,60528,18175,16924,20,846,OK
100,exponential,3,0,1,false,sel,ordered,54398,12643,12929,20,646,OK
100,exponential,3,0,1,false,sel,unordered,49915,11648,12135,20,606,OK
100,exponential,3,0,1,false,shuffle,any,58017,14681,15179,20,758,OK
100,exponential,3,0,1,false,shuffle,unordered,50249,11282,12071,20,603,OK
100,exponential,3,0,1,true,all,any,51630,11661,18793,20,939,OK
100,exponential,3,0,1,true,all,exact,50529,11687,12582,20,629,OK
100,exponential,3,0,1,true,all,ordered,54809,11978,13173,20,658,OK
100,exponential,3,0,1,true,all,unordered,49873,11183,12447,20,622,OK
100,exponential,3,0,1,true,sel,any,60845,14488,14357,20,717,OK
100,exponential,3,0,1,true,sel,ordered,55376,12667,13820,20,691,OK
100,exponential,3,0,1,true,sel,unordered,49904,11257,12171,20,608,OK
100,exponential,3,0,1,true,shuffle,any,62200,14699,15059,20,752,OK
100,exponential,3,0,1,true,shuffle,unordered,49589,11204,12300,20,615,OK
100,exponential,3,0,20,false,all,any,62718,16200,17579,20,878,OK
100,exponential,3,0,20,false,all,exact,52685,15699,24148,20,1207,OK
