subj size,query size,success,subj type,count,sum init time,init time,sum warmup time,warmup time,sum total query time,total query time,sum run count,run count,sum average time,average time
100,1,OK,exponential,180,9659420,53663,2245596,12476,2506226,13923,3600,20,125226,696
100,1,OK,rectangle,180,9641212,53562,2218333,12324,2644666,14693,3600,20,132152,734
100,1,OK,triangle,180,9748207,54157,2250492,12503,2681330,14896,3600,20,133977,744
100,5,OK,exponential,180,9738502,54103,2772996,15406,3089227,17162,3600,20,154381,858
100,5,OK,rectangle,168,9083261,54067,2567353,15282,3062099,18227,3360,20,153028,911
100,5,OK,triangle,180,9839123,54662,2796883,15538,3297079,18317,3600,20,164765,915
100,10,OK,exponential,120,6533494,54446,1880764,15673,2470041,20584,2400,20,123445,1029
100,10,OK,rectangle,138,7429661,53838,2156410,15626,2895389,20981,2760,20,144700,1049
100,10,OK,triangle,128,7030137,54923,2034092,15891,2721168,21259,2560,20,135996,1062
100,20,OK,exponential,48,2666628,55555,789935,16457,1211357,25237,960,20,60543,1261
100,20,OK,rectangle,56,3043669,54351,896439,16008,1404853,25087,1120,20,70220,1254
100,20,OK,triangle,96,5307563,55287,1557313,16222,2477902,25811,1920,20,123848,1290
100,30,OK,exponential,24,1352480,56353,400259,16677,666300,27762,480,20,33302,1388
100,30,OK,rectangle,28,1592781,56885,465174,16613,796372,28442,560,20,39804,1422
100,30,OK,triangle,54,3058930,56647,917594,16992,1592597,29493,1080,20,79605,1474
1000,1,OK,exponential,180,16489917,91611,3415946,18977,6079026,33772,3600,20,303862,1688
1000,1,OK,rectangle,180,16397528,91097,3359613,18665,6089212,33829,3600,20,304381,1691
1000,1,OK,triangle,180,16228314,90157,3372101,18734,6113901,33966,3600,20,305609,1698
1000,5,OK,exponential,180,16415538,91197,4025274,22363,7116579,39537,3600,20,355745,1976
1000,5,OK,rectangle,180,16642888,92460,4163614,23131,7553125,41962,3600,20,377574,2098
1000,5,OK,triangle,166,15157030,91307,3709787,22348,6550090,39458,3320,20,327425,1972
1000,10,OK,exponential,150,13718302,91455,3414678,22765,6411526,42744,3000,20,320508,2137
1000,10,OK,rectangle,160,14905909,93162,3729233,23308,6959872,43499,3200,20,347923,2175
1000,10,OK,triangle,152,13826593,90964,3389129,22297,6365766,41880,3040,20,318207,2093
1000,20,OK,exponential,138,12774399,92568,3222839,23354,6379433,46228,2760,20,318906,2311
1000,20,OK,rectangle,92,8515762,92563,2138095,23240,4351816,47302,1840,20,217543,2365
1000,20,OK,triangle,120,10954291,91286,2747522,22896,5472404,45603,2400,20,273557,2280
1000,30,OK,exponential,120,11114645,92622,2933158,24443,5931803,49432,2400,20,296536,2471
1000,30,OK,rectangle,66,6076327,92066,1564779,23709,3212881,48680,1320,20,160611,2434
1000,30,OK,triangle,92,8581888,93281,2220807,24139,4390484,47723,1840,20,219483,2386
10000,1,OK,exponential,180,27529593,152942,5782949,32127,27746825,154149,3600,20,1387252,7707
10000,1,OK,rectangle,180,28205137,156695,5985030,33250,30563587,169798,3600,20,1528094,8489
10000,1,OK,triangle,180,29349501,163053,5959012,33106,31576892,175427,3600,20,1578761,8771
10000,5,OK,exponential,180,27482856,152683,7076939,39316,30783084,171017,3600,20,1539076,8550
10000,5,OK,rectangle,160,25185000,157406,6227076,38919,30084227,188026,3200,20,1504129,9401
10000,5,OK,triangle,148,23850734,161154,6122292,41367,30440843,205681,2960,20,1521972,10284
10000,10,OK,exponential,174,26850165,154311,6961501,40009,30507210,175329,3480,20,1525280,8766
10000,10,OK,rectangle,138,21956679,159106,5480656,39715,26776754,194034,2760,20,1338775,9701
10000,10,OK,triangle,140,22457544,160411,5787827,41342,29369877,209785,2800,20,1468428,10489
10000,20,OK,exponential,162,25417133,156896,6566814,40536,29290183,180804,3240,20,1464438,9040
